,accuracy,f1_weighted,f1_macro,balanced_accuracy
Gradient Boosting,0.8677290836653386,0.8630877410086322,0.8095445410833727,0.7913151884278644
AdaBoost,0.8529880478087649,0.8444983052778471,0.7801107530136572,0.7556656832889228
MLP,0.849468791500664,0.8455071523289022,0.7865825774634747,0.7734706889988581
KNN,0.8407702523240372,0.8377016568940775,0.777120623405698,0.7675226018271792
Random Forest,0.8137450199203188,0.8236564835003393,0.7793355196807494,0.8267883993148077
Logistic Regression,0.8048472775564409,0.8153412875301127,0.7692230337158121,0.8161522173582032
SVC,0.8047144754316069,0.8158388237497494,0.7716185289303559,0.8243562047963456
Decision Tree,0.8041168658698539,0.8152720711011286,0.7709060939092466,0.8235044727826417
Extra Trees,0.7760956175298804,0.7900582118981475,0.7437580071964481,0.8031992291587362
Gaussian Naive Bayes,0.5579017264276228,0.5757137972347424,0.5537072710440109,0.6860875047582794
