Model,R2,RMSE,MAE
Random Forest Regressor,0.9379112153762826,0.36323499294219963,0.235671986970684
Gradient Boosting Regressor,0.9315874369256081,0.3812843957203541,0.2505445205458213
KNN Regressor,0.9259216917190475,0.396758855700219,0.26535504885993483
SVR,0.9242883260683254,0.40110910947163614,0.2336157529050429
Polynomial Regression,0.9181104148638408,0.4171530627871955,0.27203840230247994
Decision Tree Regressor,0.8796502520902738,0.5057125059237033,0.3521185685496437
Ridge Regression,0.8669136832570022,0.5317993522659274,0.33988810858694185
Linear Regression,0.8669117063303327,0.5318033020499616,0.33992680050997487
ElasticNet Regression,0.6360830166919543,0.8793914989365547,0.6223973993009739
Lasso Regression,0.3049287188770986,1.2153343516373676,0.9198785360454308
